"TABLA DE COLINDANCIAS ""ANANDA""",,,,,,,,,,,,,,,,,,,,,,,
LOTE,Cliente,M2 PRIVATIVO,% INDIVISO,M2 Area Comun,M2 Area Recreativa,M2 Pasillos,Total Terreno,NORTE,SUR,ESTE,OESTE,Total Construccion,Lista 1 Preventa Construccion         (3 unidades),Lista 2 Preventa Construccion (3 unidades),Lista 3  Preventa Contstruccion               (3 unidades),Lista 4                (3 unidades),Lista 5                (3 unidades),Lista 6                (3 unidades),Lista 7                (3 unidades),Lista 8               (3 unidades),Lista 9                (3 unidades),Lista 10            (6 unidades),
26,,161.00,2.37%,57.39,11.61,6.63,236.63,23 m con Lote 25,23 m con Lote 27,7 m con calle Puerto Monaco,7 m con Área Común,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
27,,161.00,2.37%,57.39,11.61,6.63,236.63,23 m con Lote 26,23 m con Lote 28,7 m con calle Puerto Monaco,7 m con Área Común,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
28,,161.00,2.37%,57.39,11.61,6.63,236.63,23 m con Lote 27,23 m con Lote 29,7 m con calle Puerto Monaco,7 m con Área Común,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
29,,161.00,2.37%,57.39,11.61,6.63,236.63,23 m con Lote 28,21 m con Lote 30 y 2 m con Pasillo,7 m con calle Puerto Monaco,7 m con Área Común,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
30,,147.00,2.16%,52.40,10.60,6.05,216.05,21 m con Lote 29 ,21 m con Lote 31,7 m con calle Puerto Monaco,7 m con Pasillo,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 ",
31,,147.00,2.16%,52.40,10.60,6.05,216.05,21 m con Lote 30,21 m con Lote 32,7 m con calle Puerto Monaco,7 m con Pasillo,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 ",
32,,147.00,2.16%,52.40,10.60,6.05,216.05,21 m con Lote 31,21 m con Lote 33,7 m con calle Puerto Monaco,7 m con Pasillo,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 ",
33,,147.00,2.16%,52.40,10.60,6.05,216.05,21 m con Lote 32,21 m con Calle Puerto Las Hadas,7 m con calle Puerto Monaco,7 m con Pasillo,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 ",
34,,133.00,1.95%,47.41,9.59,5.47,195.47,7 m con Pasillo,7 m con Calle Puerto Las Hadas,19 m con Lote 35,19 m con Calle Puerto Kino,120.8," $ 3,203,616 "," $ 3,267,688 "," $ 3,333,042 "," $ 3,399,703 "," $ 3,467,697 "," $ 3,537,051 "," $ 3,607,792 "," $ 3,679,948 "," $ 3,753,547 "," $ 3,828,618 ",
35,,133.00,1.95%,47.41,9.59,5.47,195.47,7 m con Pasillo,7 m con Calle Puerto Las Hadas,19 m con Lote 36,19 m con Lote 34,120.8," $ 3,203,616 "," $ 3,267,688 "," $ 3,333,042 "," $ 3,399,703 "," $ 3,467,697 "," $ 3,537,051 "," $ 3,607,792 "," $ 3,679,948 "," $ 3,753,547 "," $ 3,828,618 ",
36,,133.00,1.95%,47.41,9.59,5.47,195.47,7 m con Pasillo,7 m con Calle Puerto Las Hadas,19 m con Lote 37,19 m con Lote 35,120.8," $ 3,203,616 "," $ 3,267,688 "," $ 3,333,042 "," $ 3,399,703 "," $ 3,467,697 "," $ 3,537,051 "," $ 3,607,792 "," $ 3,679,948 "," $ 3,753,547 "," $ 3,828,618 ",
37,,133.00,1.95%,47.41,9.59,5.47,195.47,7 m con Pasillo,7 m con Calle Puerto Las Hadas,19 m con Lote 38,19 m con Lote 36,120.8," $ 3,203,616 "," $ 3,267,688 "," $ 3,333,042 "," $ 3,399,703 "," $ 3,467,697 "," $ 3,537,051 "," $ 3,607,792 "," $ 3,679,948 "," $ 3,753,547 "," $ 3,828,618 ",
38,,161.00,2.37%,57.39,11.61,6.63,236.63,7 m con Área Común,7 m con Calle Puerto Las Hadas,23 m con Lote 39,19 m con Lote 37 y 4 m con Pasillo,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 ",
